rank,name,networth,age,country,longitude,latitude,source,industry
1,Elon Musk ,219,50,United States of America,-95.712891,37.09024,"Tesla, SpaceX",Automotive 
2,Jeff Bezos ,171,58,United States of America,-95.712891,37.09024,Amazon,Technology 
3,Bernard Arnault & family ,158,73,France,2.213749,46.227638,LVMH,Fashion & Retail 
4,Bill Gates ,129,66,United States of America,-95.712891,37.09024,Microsoft,Technology 
5,Warren Buffett ,118,91,United States of America,-95.712891,37.09024,Berkshire Hathaway,Finance & Investments 
6,Larry Page ,111,49,United States of America,-95.712891,37.09024,Google,Technology 
7,Sergey Brin ,107,48,United States of America,-95.712891,37.09024,Google,Technology 
8,Larry Ellison ,106,77,United States of America,-95.712891,37.09024,software,Technology 
9,Steve Ballmer ,91.4,66,United States of America,-95.712891,37.09024,Microsoft,Technology 
10,Mukesh Ambani ,90.7,64,India,78.96288,20.593684,diversified,Diversified 
11,Gautam Adani & family ,90,59,India,78.96288,20.593684,"infrastructure, commodities",Diversified 
12,Michael Bloomberg ,82,80,United States of America,-95.712891,37.09024,Bloomberg LP,Media & Entertainment 
13,Carlos Slim Helu & family ,81.2,82,Mexico,-102.552784,23.634501,telecom,Telecom 
14,Francoise Bettencourt Meyers & family ,74.8,68,France,2.213749,46.227638,L'Oréal,Fashion & Retail 
15,Mark Zuckerberg ,67.3,37,United States of America,-95.712891,37.09024,Facebook,Technology 
16,Jim Walton ,66.2,73,United States of America,-95.712891,37.09024,Walmart,Fashion & Retail 
17,Zhong Shanshan ,65.7,67,China,104.195397,35.86166,"beverages, pharmaceuticals",Food & Beverage 
18,Alice Walton ,65.3,72,United States of America,-95.712891,37.09024,Walmart,Fashion & Retail 
19,Rob Walton ,65,77,United States of America,-95.712891,37.09024,Walmart,Fashion & Retail 
19,Changpeng Zhao ,65,44,Canada,-106.346771,56.130366,cryptocurrency exchange,Finance & Investments 
21,Charles Koch ,60,86,United States of America,-95.712891,37.09024,Koch Industries,Diversified 
21,Julia Koch & family ,60,59,United States of America,-95.712891,37.09024,Koch Industries,Diversified 
23,Amancio Ortega ,59.6,86,Spain,-3.74922,40.463667,Zara,Fashion & Retail 
24,Michael Dell ,55.1,57,United States of America,-95.712891,37.09024,Dell computers,Technology 
25,Zhang Yiming ,50,38,China,104.195397,35.86166,TikTok,Media & Entertainment 
26,David Thomson & family ,49.2,64,Canada,-106.346771,56.130366,media,Media & Entertainment 
27,Phil Knight & family ,47.3,84,United States of America,-95.712891,37.09024,Nike,Fashion & Retail 
28,Dieter Schwarz ,47.1,82,Germany,10.451526,51.165691,retail,Fashion & Retail 
29,Robin Zeng ,44.8,53,Hong Kong,114.109497,22.396428,batteries,Automotive 
30,MacKenzie Scott ,43.6,51,United States of America,-95.712891,37.09024,Amazon,Technology 
31,Rodolphe Saadé & family ,41.4,52,France,2.213749,46.227638,shipping,Logistics 
32,François Pinault & family ,40.4,85,France,2.213749,46.227638,luxury goods,Fashion & Retail 
33,Klaus-Michael Kuehne ,37.3,84,Germany,10.451526,51.165691,shipping,Logistics 
34,Ma Huateng ,37.2,50,China,104.195397,35.86166,internet media,Technology 
35,Beate Heister & Karl Albrecht Jr. & family ,36.8,64,Germany,10.451526,51.165691,supermarkets,Fashion & Retail 
36,Giovanni Ferrero ,36.2,57,Italy,12.56738,41.87194,"Nutella, chocolates",Food & Beverage 
37,Li Ka-shing ,34.8,93,Hong Kong,114.109497,22.396428,diversified,Diversified 
37,Stephen Schwarzman ,34.8,75,United States of America,-95.712891,37.09024,investments,Finance & Investments 
39,Lee Shau Kee ,32.6,94,Hong Kong,114.109497,22.396428,real estate,Real Estate 
40,Len Blavatnik ,32.5,64,United States of America,-95.712891,37.09024,"music, chemicals",Diversified 
41,Jacqueline Mars ,31.7,82,United States of America,-95.712891,37.09024,"candy, pet food",Food & Beverage 
